order_id,customer_id,order_date,status
1,1,2024-01-01,completed
2,3,2024-01-02,completed
3,4,2024-01-02,completed
4,5,2024-01-04,completed
5,6,2024-01-05,completed
6,1,2024-01-05,completed
7,9,2024-01-07,completed
8,2,2024-01-09,completed
9,3,2024-01-09,shipped
10,4,2024-01-10,returned
11,5,2024-01-11,placed
12,6,2024-01-12,return_pending
13,7,2024-01-13,completed
14,8,2024-01-13,completed
15,9,2024-01-14,shipped
16,10,2024-01-15,completed
17,1,2024-01-16,completed
18,2,2024-01-17,shipped
19,3,2024-01-18,placed
20,4,2024-01-19,completed
